City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
267,Mage,BR,2021-07-27 19:44:48,-22.6528,-43.0406,91.35,37,0,3.22
268,Pihani,IN,2021-07-27 19:45:11,27.6333,80.2,81.68,87,91,6.78
269,Neuruppin,DE,2021-07-27 19:45:11,52.9282,12.8031,76.96,70,63,2.42
270,Narsaq,GL,2021-07-27 19:45:11,60.9167,-46.05,57.42,65,83,9.15
271,Wisconsin Rapids,US,2021-07-27 19:45:12,44.3836,-89.8174,85.28,62,1,13.8
272,Kisangani,CD,2021-07-27 19:45:12,0.5167,25.2,74.98,69,96,2.86
273,Yulara,AU,2021-07-27 19:45:12,-25.2406,130.9889,66.04,39,75,9.22
274,Yarim,YE,2021-07-27 19:45:13,14.298,44.3779,62.53,69,91,1.28
275,Gamba,GA,2021-07-27 19:45:13,-2.65,10.0,72.59,90,96,6.58
276,Poso,ID,2021-07-27 19:45:13,-1.3959,120.7524,76.12,73,42,5.41
277,Beringovskiy,RU,2021-07-27 19:45:14,63.05,179.3167,48.34,97,100,4.88
278,Havoysund,NO,2021-07-27 19:45:14,70.9963,24.6622,47.28,91,17,8.75
279,Esso,RU,2021-07-27 19:45:14,55.9333,158.7,58.68,93,100,2.59
280,Nassau,US,2021-07-27 19:44:31,40.7507,-73.5829,93.97,46,1,5.99
281,Nyurba,RU,2021-07-27 19:45:15,63.2842,118.3319,61.95,80,17,2.71
282,Yibin,CN,2021-07-27 19:45:15,28.7667,104.6238,74.84,92,26,3.8
283,Christchurch,NZ,2021-07-27 19:40:27,-43.5333,172.6333,42.48,90,3,3.44
284,Cabo San Lucas,MX,2021-07-27 19:42:19,22.8909,-109.9124,97.81,66,1,11.5
285,Caravelas,BR,2021-07-27 19:45:16,-17.7125,-39.2481,73.89,78,6,8.79
286,Ostrovnoy,RU,2021-07-27 19:45:16,68.0531,39.5131,45.48,89,77,3.76
287,Murdochville,CA,2021-07-27 19:45:16,48.9583,-65.5006,58.08,66,99,8.1
288,Alekseyevka,RU,2021-07-27 19:45:17,50.6309,38.6903,71.22,51,53,3.11
289,Smithers,CA,2021-07-27 19:45:17,54.7804,-127.1743,61.12,59,75,4.61
290,Najran,SA,2021-07-27 19:45:17,17.4924,44.1277,86.65,34,96,2.71
291,Pemangkat,ID,2021-07-27 19:45:18,1.1667,108.9667,79.02,87,100,7.34
292,Maxixe,MZ,2021-07-27 19:45:18,-23.8597,35.3472,58.82,94,20,3.44
